x_sun,y_sun,z_sun,x_earth,y_earth,z_earth,x_moon,y_moon,z_moon
3992.09446566703,-56906765480.0814,-57304626486.7611,94459.7618844188,136093573931.675,136106160725.539,7.48811759273713,-13867865.4857083,13140972.9719245
3735.70088069654,-58615600488.0728,-59008114192.8463,98082.3092584387,135383033183.795,135335549624.645,7.61629638582648,-14518338.4392805,7744904.42381382
3451.51324131108,-60315410941.1525,-60692931050.6252,101769.046460482,134651364801.677,134545027962.938,7.73771952759528,-15159923.4473713,1809349.05489738
3138.73433243063,-62005933195.2516,-62358931058.1211,105519.606943618,133898670959.417,133736210592.272,7.85205462627076,-15793981.0511853,-4546134.39748474
2794.39065418302,-63697137651.1185,-64016200576.4913,109357.099069587,133120269142.823,132905606221.23,7.95959998814576,-16425859.7590418,-11229544.3234606
2419.50214651256,-65378400916.673,-65654859182.6808,113258.421562576,132320801892.643,132059762865.157,8.05929941933295,-17053465.8402608,-18047874.7135208
2013.27280917525,-67049450725.4647,-67275494446.2682,117223.170717178,131500383995.96,131200275814.956,8.15081844111192,-17678723.0497588,-24835740.6063038
1574.91222035499,-68710012534.82,-68879029856.5257,121250.932823236,130659134778.27,130328642255.536,8.23382403277015,-18303731.2520757,-31413484.8825565
1103.63566438828,-70359810095.7463,-70466681965.0323,125341.284248772,129797178981.214,129446187692.496,8.30798470013066,-18930663.3403416,-37595557.0348287
598.66425809277,-71998566157.7065,-72039906530.2346,129493.791524489,128914647770.304,128553981772.45,8.37297055095864,-19561643.8288025,-43200381.4277871
59.2250757107922,-73626002310.0331,-73600414784.9481,133708.011429867,128011679434.828,127652779075.739,8.42845337484885,-20198707.3986419,-48053728.2475729
-515.448727637829,-75241839664.7246,-75150121290.8614,137983.491080867,127088420258.689,126742945973.991,8.4741067262872,-20843689.989116,-51997566.266086
-1076.22618141979,-76718705619.9424,-76568680389.0859,141972.760159562,126220771597.114,125897740018.763,8.50716249170789,-21445571.4311428,-54720104.9254094
-1668.09081346173,-78185295313.6203,-77981183322.3262,146013.174779217,125336190116.257,125044684094.673,8.53136302650741,-22056079.4487994,-56501996.2204442
-2291.62651626474,-79641397783.989,-79388974947.4446,150104.36040537,124434809089.472,124183081889.096,8.54645803505563,-22675611.8083589,-57304143.0139195
